
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.75, para_sv_a: 0.006, para_orth: 0.005, para_reg: 0.005, para_minvol: 0.0, para_sv_L: 90, WD: 4e-05, RE: 0.0962, SAD: 0.5982, Class1_sad: 0.2268, Class2_sad: 0.1926, Class3_sad: 1.3753, RMSE: 0.1227, Class1_mse: 0.1414, Class2_mse: 0.0998, Class3_mse: 0.1233, TIME:2023-05-10 12:27:30
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.65, para_sv_a: 0.004, para_orth: 0.009, para_reg: 0.005, para_minvol: 0.008, para_sv_L: 90, WD: 4e-05, RE: 0.0591, SAD: 0.4308, Class1_sad: 0.2431, Class2_sad: 0.2054, Class3_sad: 0.8439, RMSE: 0.1992, Class1_mse: 0.2371, Class2_mse: 0.1765, Class3_mse: 0.1779, TIME:2023-05-10 12:28:06
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 500.0, para_sv_a: 0.002, para_orth: 0.007, para_reg: 0.005, para_minvol: 0.006, para_sv_L: 90, WD: 4e-05, RE: 0.0776, SAD: 0.5846, Class1_sad: 0.2245, Class2_sad: 0.1898, Class3_sad: 1.3396, RMSE: 0.2510, Class1_mse: 0.1098, Class2_mse: 0.2900, Class3_mse: 0.3048, TIME:2023-05-10 12:28:41
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 0.5, para_sv_a: 0.008, para_orth: 0.001, para_reg: 0.005, para_minvol: 0.0, para_sv_L: 90, WD: 4e-05, RE: 0.1051, SAD: 0.4431, Class1_sad: 0.2399, Class2_sad: 0.1832, Class3_sad: 0.9062, RMSE: 0.1899, Class1_mse: 0.2181, Class2_mse: 0.1617, Class3_mse: 0.1855, TIME:2023-05-10 12:29:16
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.2, para_sv_a: 0.002, para_orth: 0.001, para_reg: 0.005, para_minvol: 0.002, para_sv_L: 90, WD: 4e-05, RE: 0.0586, SAD: 0.3754, Class1_sad: 0.2570, Class2_sad: 0.1740, Class3_sad: 0.6952, RMSE: 0.3782, Class1_mse: 0.4340, Class2_mse: 0.1465, Class3_mse: 0.4683, TIME:2023-05-10 12:29:51
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.1, para_sv_a: 0.01, para_orth: 0.007, para_reg: 0.005, para_minvol: 0.0, para_sv_L: 90, WD: 4e-05, RE: 0.0700, SAD: 0.4341, Class1_sad: 0.2421, Class2_sad: 0.1858, Class3_sad: 0.8743, RMSE: 0.1603, Class1_mse: 0.1718, Class2_mse: 0.1341, Class3_mse: 0.1721, TIME:2023-05-10 12:30:27
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.15000000000000002, para_sv_a: 0.004, para_orth: 0.007, para_reg: 0.005, para_minvol: 0.002, para_sv_L: 90, WD: 4e-05, RE: 0.0580, SAD: 0.4018, Class1_sad: 0.2631, Class2_sad: 0.1783, Class3_sad: 0.7641, RMSE: 0.3483, Class1_mse: 0.4017, Class2_mse: 0.1305, Class3_mse: 0.4307, TIME:2023-05-10 12:31:01
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 300.0, para_sv_a: 0.002, para_orth: 0.007, para_reg: 0.005, para_minvol: 0.004, para_sv_L: 90, WD: 4e-05, RE: 0.0950, SAD: 0.5957, Class1_sad: 0.2309, Class2_sad: 0.2078, Class3_sad: 1.3483, RMSE: 0.1600, Class1_mse: 0.0991, Class2_mse: 0.1928, Class3_mse: 0.1726, TIME:2023-05-10 12:31:37
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.4, para_sv_a: 0.01, para_orth: 0.009, para_reg: 0.005, para_minvol: 0.0, para_sv_L: 90, WD: 4e-05, RE: 0.1133, SAD: 0.3971, Class1_sad: 0.2446, Class2_sad: 0.2193, Class3_sad: 0.7274, RMSE: 0.1743, Class1_mse: 0.1901, Class2_mse: 0.1619, Class3_mse: 0.1698, TIME:2023-05-10 12:32:12
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.05, para_sv_a: 0.004, para_orth: 0.001, para_reg: 0.005, para_minvol: 0.0, para_sv_L: 90, WD: 4e-05, RE: 0.0763, SAD: 0.5794, Class1_sad: 0.2307, Class2_sad: 0.1983, Class3_sad: 1.3092, RMSE: 0.1346, Class1_mse: 0.1675, Class2_mse: 0.1107, Class3_mse: 0.1186, TIME:2023-05-10 12:32:47
