
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 0.002, para_sv_a: 0.01, para_orth: 0.001, para_reg: 0.0035, para_minvol: 0.6000000000000001, para_sv_L: 100, WD: 4e-05, RE: 0.1000, SAD: 0.4479, Class1_sad: 0.2327, Class2_sad: 0.1853, Class3_sad: 0.9257, RMSE: 0.1438, Class1_mse: 0.1656, Class2_mse: 0.1230, Class3_mse: 0.1396, TIME:2023-05-08 17:13:43
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.008, para_orth: 0.009, para_reg: 0.0035, para_minvol: 0.8, para_sv_L: 80, WD: 4e-05, RE: 0.0758, SAD: 0.3950, Class1_sad: 0.2327, Class2_sad: 0.2015, Class3_sad: 0.7507, RMSE: 0.1598, Class1_mse: 0.1930, Class2_mse: 0.1447, Class3_mse: 0.1358, TIME:2023-05-08 17:14:20
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.006, para_sv_a: 0.006, para_orth: 0.006333333333333333, para_reg: 0.0035, para_minvol: 1.0, para_sv_L: 90, WD: 4e-05, RE: 0.0997, SAD: 0.5626, Class1_sad: 0.2260, Class2_sad: 0.1971, Class3_sad: 1.2647, RMSE: 0.1089, Class1_mse: 0.1312, Class2_mse: 0.1115, Class3_mse: 0.0771, TIME:2023-05-08 17:14:56
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.01, para_sv_a: 0.01, para_orth: 0.009, para_reg: 0.008, para_minvol: 0.4, para_sv_L: 100, WD: 4e-05, RE: 0.0861, SAD: 0.5647, Class1_sad: 0.2262, Class2_sad: 0.1778, Class3_sad: 1.2902, RMSE: 0.3525, Class1_mse: 0.3558, Class2_mse: 0.2585, Class3_mse: 0.4235, TIME:2023-05-08 17:15:32
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.006, para_sv_a: 0.01, para_orth: 0.006333333333333333, para_reg: 0.0035, para_minvol: 0.2, para_sv_L: 90, WD: 4e-05, RE: 0.0807, SAD: 0.4280, Class1_sad: 0.2386, Class2_sad: 0.1876, Class3_sad: 0.8579, RMSE: 0.2236, Class1_mse: 0.2831, Class2_mse: 0.1585, Class3_mse: 0.2116, TIME:2023-05-08 17:16:08
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.006, para_sv_a: 0.004, para_orth: 0.001, para_reg: 0.006500000000000001, para_minvol: 1.0, para_sv_L: 80, WD: 4e-05, RE: 0.0537, SAD: 0.4346, Class1_sad: 0.2321, Class2_sad: 0.1823, Class3_sad: 0.8893, RMSE: 0.2905, Class1_mse: 0.3490, Class2_mse: 0.1104, Class3_mse: 0.3451, TIME:2023-05-08 17:16:43
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.01, para_sv_a: 0.008, para_orth: 0.0036666666666666666, para_reg: 0.008, para_minvol: 0.6000000000000001, para_sv_L: 80, WD: 4e-05, RE: 0.1075, SAD: 0.6075, Class1_sad: 0.2351, Class2_sad: 0.1957, Class3_sad: 1.3918, RMSE: 0.0898, Class1_mse: 0.0875, Class2_mse: 0.1088, Class3_mse: 0.0685, TIME:2023-05-08 17:17:19
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 0.004, para_sv_a: 0.01, para_orth: 0.006333333333333333, para_reg: 0.006500000000000001, para_minvol: 0.4, para_sv_L: 90, WD: 4e-05, RE: 0.0872, SAD: 0.4503, Class1_sad: 0.2294, Class2_sad: 0.1947, Class3_sad: 0.9266, RMSE: 0.1311, Class1_mse: 0.1251, Class2_mse: 0.1162, Class3_mse: 0.1498, TIME:2023-05-08 17:17:55
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.002, para_sv_a: 0.008, para_orth: 0.0036666666666666666, para_reg: 0.0035, para_minvol: 0.6000000000000001, para_sv_L: 100, WD: 4e-05, RE: 0.0767, SAD: 0.4349, Class1_sad: 0.2656, Class2_sad: 0.2082, Class3_sad: 0.8308, RMSE: 0.2561, Class1_mse: 0.3354, Class2_mse: 0.1709, Class3_mse: 0.2347, TIME:2023-05-08 17:18:31
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.002, para_sv_a: 0.006, para_orth: 0.0036666666666666666, para_reg: 0.006500000000000001, para_minvol: 0.4, para_sv_L: 100, WD: 4e-05, RE: 0.0907, SAD: 0.5576, Class1_sad: 0.2450, Class2_sad: 0.1854, Class3_sad: 1.2424, RMSE: 0.3713, Class1_mse: 0.4175, Class2_mse: 0.1652, Class3_mse: 0.4605, TIME:2023-05-08 17:19:07
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.002, para_sv_a: 0.006, para_orth: 0.009, para_reg: 0.002, para_minvol: 0.8, para_sv_L: 90, WD: 4e-05, RE: 0.0749, SAD: 0.5715, Class1_sad: 0.2210, Class2_sad: 0.1697, Class3_sad: 1.3238, RMSE: 0.4296, Class1_mse: 0.4076, Class2_mse: 0.3100, Class3_mse: 0.5398, TIME:2023-05-08 17:19:43
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.01, para_sv_a: 0.002, para_orth: 0.009, para_reg: 0.006500000000000001, para_minvol: 1.0, para_sv_L: 100, WD: 4e-05, RE: 0.0808, SAD: 0.4248, Class1_sad: 0.2496, Class2_sad: 0.1849, Class3_sad: 0.8400, RMSE: 0.3435, Class1_mse: 0.4099, Class2_mse: 0.1157, Class3_mse: 0.4153, TIME:2023-05-08 17:20:19
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.004, para_sv_a: 0.01, para_orth: 0.001, para_reg: 0.005, para_minvol: 0.4, para_sv_L: 100, WD: 4e-05, RE: 0.1078, SAD: 0.4118, Class1_sad: 0.2308, Class2_sad: 0.1968, Class3_sad: 0.8077, RMSE: 0.1828, Class1_mse: 0.2106, Class2_mse: 0.1561, Class3_mse: 0.1776, TIME:2023-05-08 17:20:56
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.002, para_sv_a: 0.004, para_orth: 0.001, para_reg: 0.002, para_minvol: 0.4, para_sv_L: 80, WD: 4e-05, RE: 0.0767, SAD: 0.6187, Class1_sad: 0.2133, Class2_sad: 0.1853, Class3_sad: 1.4576, RMSE: 0.2869, Class1_mse: 0.1835, Class2_mse: 0.2957, Class3_mse: 0.3547, TIME:2023-05-08 17:21:32
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.01, para_sv_a: 0.004, para_orth: 0.0036666666666666666, para_reg: 0.002, para_minvol: 0.4, para_sv_L: 80, WD: 4e-05, RE: 0.0984, SAD: 0.5106, Class1_sad: 0.2366, Class2_sad: 0.2042, Class3_sad: 1.0910, RMSE: 0.3140, Class1_mse: 0.3771, Class2_mse: 0.0940, Class3_mse: 0.3805, TIME:2023-05-08 17:22:08
