LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.004, para_orth: 0.008, para_reg: 0.00625, para_sv_L: 100, WD: 4e-05, RE: 0.0473, SAD: 0.6068, RMSE: 0.3976, Class1_mse: 0.4118, Class2_mse: 0.2925, Class3_mse: 0.4681, TIME:2023-05-07 20:28:31
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.004, para_orth: 0.008, para_reg: 0.008, para_sv_L: 100, WD: 4e-05, RE: 0.0454, SAD: 0.5685, RMSE: 0.3545, Class1_mse: 0.4099, Class2_mse: 0.1423, Class3_mse: 0.4345, TIME:2023-05-07 20:29:30
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.001, para_reg: 0.001, para_sv_L: 100, WD: 4e-05, RE: 0.0380, SAD: 0.3909, RMSE: 0.3717, Class1_mse: 0.4387, Class2_mse: 0.1604, Class3_mse: 0.4432, TIME:2023-05-07 20:30:29
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.001, para_reg: 0.00275, para_sv_L: 100, WD: 4e-05, RE: 0.0591, SAD: 0.5771, RMSE: 0.4302, Class1_mse: 0.4279, Class2_mse: 0.2887, Class3_mse: 0.5375, TIME:2023-05-07 20:31:27
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.001, para_reg: 0.0045000000000000005, para_sv_L: 100, WD: 4e-05, RE: 0.0405, SAD: 0.3951, RMSE: 0.3136, Class1_mse: 0.3867, Class2_mse: 0.1381, Class3_mse: 0.3555, TIME:2023-05-07 20:32:26
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.001, para_reg: 0.00625, para_sv_L: 100, WD: 4e-05, RE: 0.0528, SAD: 0.5872, RMSE: 0.3050, Class1_mse: 0.3660, Class2_mse: 0.1598, Class3_mse: 0.3457, TIME:2023-05-07 20:33:24
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.001, para_reg: 0.008, para_sv_L: 100, WD: 4e-05, RE: 0.0564, SAD: 0.6264, RMSE: 0.4046, Class1_mse: 0.3883, Class2_mse: 0.3100, Class3_mse: 0.4941, TIME:2023-05-07 20:34:23
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.008, para_reg: 0.001, para_sv_L: 100, WD: 4e-05, RE: 0.0386, SAD: 0.6448, RMSE: 0.4407, Class1_mse: 0.4286, Class2_mse: 0.3246, Class3_mse: 0.5417, TIME:2023-05-07 20:35:22
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.008, para_reg: 0.00275, para_sv_L: 100, WD: 4e-05, RE: 0.0327, SAD: 0.3497, RMSE: 0.2488, Class1_mse: 0.3016, Class2_mse: 0.1803, Class3_mse: 0.2496, TIME:2023-05-07 20:36:21
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.008, para_reg: 0.0045000000000000005, para_sv_L: 100, WD: 4e-05, RE: 0.0507, SAD: 0.2881, RMSE: 0.4126, Class1_mse: 0.4091, Class2_mse: 0.3059, Class3_mse: 0.4999, TIME:2023-05-07 20:37:20
